Node 1,Node 2,Score Player 1,Score Player 2
474,1839,47,312
474,1842,398,153
474,1860,232,227
474,1946,390,165
474,1951,60,260
474,1964,209,219
474,2046,222,222
474,2080,54,284
474,2083,402,147
474,2206,221,216
474,2289,392,162
474,2295,47,312
474,2308,57,272
474,2359,193,263
474,2398,402,147
474,2406,44,324
474,2424,418,123
474,2484,223,223
474,2549,240,235
474,2637,222,222
474,2687,237,222
474,2692,227,222
474,2704,223,218
474,2803,404,144
474,2812,212,212
474,2838,229,224
474,2850,42,332
474,2871,402,147
474,2893,184,274
474,2928,219,219
474,3049,212,207
474,3145,396,156
474,3164,237,237
474,3230,229,224
474,3273,212,212
474,3341,400,150
474,3347,48,308
474,3357,394,159
474,3431,249,199
474,3435,49,304
474,3489,214,234
474,3524,54,284
474,3533,406,141
474,3561,230,225
474,3568,209,204
474,3588,412,132
474,3595,49,304
474,3630,392,162
474,3635,47,312
474,3651,49,304
474,3655,404,144
474,3669,226,226
474,3678,53,288
474,3744,208,218
474,3760,51,296
474,3761,220,230
474,3803,190,260
474,3836,53,288
474,4076,54,284
474,4102,224,219
474,4210,400,150
474,4268,231,231
474,4298,249,204
474,4306,54,284
474,4323,231,231
474,4367,214,219
474,4453,54,284
474,4456,58,268
474,4543,232,232
474,4553,214,209
474,4583,52,292
474,4587,49,304
474,4590,46,316
474,4644,390,165
474,4672,402,147
474,4699,205,225
474,4715,217,217
474,4755,400,150
474,4887,252,247
474,4946,200,225
474,4950,57,272
474,4970,65,240
474,4980,46,316
474,4996,228,223
474,5003,406,141
474,5042,230,225
474,5107,216,211
474,5204,232,232
474,5229,402,147
474,5232,264,199
474,5320,228,223
474,5361,390,165
474,5454,227,222
474,5536,386,171
474,5650,392,162
474,5724,229,229
474,5728,54,284
474,5748,390,165
474,5846,40,340
474,5886,239,234
474,5962,242,237
474,5963,223,203
474,5980,58,268
474,5981,219,234
474,6053,404,144
474,6147,234,234
474,6150,46,316
474,6170,50,300
474,6232,213,208
474,6241,210,225
474,6321,213,208
474,6383,56,276
510,66,304,49
510,175,100,100
510,265,500,0
