Player 1,Player 2,Score Player 1,Score Player 2
510,4450,159,254
510,4452,300,300
510,4480,300,300
510,4515,283,203
510,4553,283,203
510,4587,50,300
510,4601,50,300
510,4604,300,300
510,4672,300,300
510,4694,300,300
510,4721,300,300
510,4744,197,257
510,4745,300,300
510,4799,283,203
510,4948,300,300
510,4957,212,227
510,4994,162,252
510,5026,193,243
510,5028,300,300
510,5034,50,300
510,5040,50,300
510,5055,118,258
510,5096,283,203
510,5099,225,240
510,5107,50,300
510,5109,283,203
510,5204,300,300
510,5259,300,300
510,5369,283,203
510,5414,283,203
510,5432,50,300
510,5483,50,300
510,5530,300,300
510,5668,300,300
510,5701,300,300
510,5783,237,227
510,5824,300,300
510,5855,176,221
510,5925,300,300
510,6005,232,207
510,6076,283,203
510,6130,300,300
510,6140,300,300
510,6150,220,195
510,6163,189,224
510,6170,283,203
510,6197,300,300
510,6225,159,254
510,6298,300,300
510,6341,149,254
510,6384,300,300
533,23,229,229
533,27,234,214
533,58,51,311
533,62,46,316
533,81,194,204
533,125,394,159
533,128,57,307
533,151,402,147
533,169,294,184
533,175,255,215
533,194,52,307
533,214,220,220
533,224,213,213
533,229,231,226
533,231,285,195
533,240,231,226
533,263,227,207
533,267,216,231
533,272,233,228
533,277,61,291
533,373,241,241
533,378,227,222
533,383,227,222
533,389,244,239
533,396,171,246
533,417,295,185
533,419,172,247
533,433,49,329
533,492,210,210
533,505,288,198
533,522,281,206
533,573,57,307
533,583,195,265
533,588,58,303
533,601,117,287
533,626,402,147
533,657,154,239
533,661,396,156
533,703,230,225
533,710,239,204
533,715,224,224
533,750,213,258
533,756,283,203
533,759,281,211
533,770,296,181
533,792,53,288
533,799,227,237
533,807,232,232
533,820,236,206
533,839,388,168
533,893,44,324
533,896,65,285
533,939,55,315
533,963,278,218
533,969,230,225
533,975,44,324
533,1065,47,312
533,1149,54,284
533,1163,193,208
533,1166,194,259
533,1173,394,159
533,1174,50,300
533,1177,212,232
533,1200,51,296
533,1218,287,197
533,1274,404,144
533,1285,207,247
533,1304,203,203
533,1307,225,235
533,1318,66,251
533,1375,239,214
533,1381,215,220
533,1402,226,241
533,1413,234,199
533,1427,223,218
533,1434,52,292
533,1450,228,223
533,1480,291,186
533,1481,53,303
533,1516,225,230
533,1550,396,156
533,1651,239,219
533,1654,56,276
533,1657,231,211
533,1677,47,312
533,1738,221,231
533,1746,288,198
533,1763,51,296
533,1775,394,159
533,1802,284,204
533,1814,223,238
533,1818,44,349
533,1823,406,141
533,1827,398,153
533,1831,57,272
533,1833,227,202
533,1847,202,252
533,1864,216,256
533,1867,234,234
533,1909,400,150
533,1916,233,228
533,1950,278,208
533,2079,59,264
533,2099,47,312
533,2145,213,238
533,2201,278,198
533,2231,213,208
533,2234,238,233
533,2238,242,232
533,2241,221,216
533,2286,63,283
533,2321,228,223
533,2337,406,141
533,2344,226,226
533,2392,286,201
533,2401,57,272
533,2406,223,218
533,2415,286,196
533,2421,243,208
533,2428,414,129
533,2443,246,206
533,2473,428,108
533,2570,58,293
533,2573,246,241
533,2615,52,292
